siren,count,nom,address,cp,Coordonnee X,Coordonnee Y,Latitude,Longitude
450037148,1,ECOLE ELEMENTAIRE DES SABLONS,10 rue jules valles,95490,628148.3,6882025.5,49.0340947310059,2.0173708146318234
450122163,3,PEGASE SECURITE,parc de haye,54840,922728.0,6848690.8,48.69993331002098,6.0271696189878465
450136916,1,OGEC NOTRE DAME DES VICTOIRES,3 rue foch,29430,172525.3,6863679.2,48.65756104689412,-4.171375478651823
450148879,1,AIMG,route de baillargues,34130,781758.1,6283465.2,43.64551002318183,4.013075692816473
450168661,3,MEUNIER TOURISME,route des fades,63770,684953.4,6536532.8,45.92832483545687,2.8058344696591937
450259882,4,PHARMACIE DU PONT DE BOIS,place leon blum,59650,709346.1,7058699.7,50.625221919575594,3.1318575054779627
450297221,2,ECOLE DU VILLAGE,chemin des miettes,95280,630294.1,6879905.8,49.01527270168106,2.0470632671245292
450700117,5,SARL ALPES CONSULTANTS,chef lieu,74230,953979.4,6527501.2,45.79705641706515,6.276712253614045
450742929,1,L P C R LE PETIT COURS DU ROCHER,53 rue du rocher,75008,650072.9,6864501.7,48.87859897500431,2.3192550135701584
450775366,15,SYNDICAT INTERCOMMUNAL DU CENTRE ET DU SUD DE LA MARTINIQUE,avenue des ecoles,97215,718220.7,1606731.9,14.524759009728838,-60.97495116744929
450778055,1,PHARMACIE BREYSSE VERCHERE,route du puy,43370,769533.3,6430376.5,44.969110102532454,3.8819413462625016
450812755,1,PHARMACIE DU GRAND ARC,grande rue,73220,957631.0,6499150.1,45.543345468752214,6.302435251476224
450922331,2,LYCEE MARGUERITE DE VALOIS,12 rue louise leriget,16023,480550.3,6509868.0,45.65310781834696,0.18163812724102466
451125587,1,SARL THOT,rue gambetta,59390,715322.0,7064738.8,50.67929906031079,3.2163990924050787
451322127,1,APMSYSTEM,chemin de l'ecole,64450,431024.2,6267920.3,43.459436185631844,-0.32302401398391056
451713747,1,CONTROLE TECHNIQUE AUTOMOBILE REVEL,chemin de beausejour,31250,618552.5,6262346.0,43.45554498048076,1.9941060448188188
451807358,4,EPCC OPERA,boulevard de strasbourg,83000,938949.5,6229397.1,43.12386829303846,5.934752993543688
451900013,5,AIA ASSOCIES,15 rue olympe de gouges,44800,348340.3,6691216.2,47.22802391149961,-1.6502293075164227
452240419,1,BEAUDOUIN BRIGITTE,43 route d'irigny,69230,840217.8,6511704.9,45.690512333736926,4.801788585435888
452276405,1,LYCEE GERVILLE REACHE,37 rue amedee fengarol,97100,636299.5,1768355.3,15.990982096720154,-61.72621928363064
452385560,1,URKO'SECURITE,6 rue du rhone,90000,989612.2,6732419.9,47.628477793318005,6.857767171922494
452657877,1,SOCIETE D'EDITION DE LA ROUE ET DU MOTEUR A EXPLOSION,89 rue carnot,92300,647547.8,6866148.8,48.8932099714689,2.2846242149079483
452687858,1,MOULLA HAKIM,route de tonnerre,89270,755531.7,6729904.3,47.66718374151736,3.739960841924425
452783970,1,CENTER PARCS,11 rue de cambrai,75019,654556.0,6866416.7,48.89615192408914,2.380173504027037
452895055,1,CLEAU,quartier la gare,26800,847093.1,6417945.5,44.84507092159119,4.861702898371886
453541922,3,OFFICE DE TOURISME,place de la mairie,64570,393801.8,6231072.3,43.11328631441656,-0.7605624662498438
